 Reference                                                                                                                                                                | Version         | License Type             | License 
 Moq                                                                                                                                                                      | 4.16.1          | BSD 3-Clause             | https://raw.githubusercontent.com/moq/moq4/master/License.txt                            
 Multiformats.Hash                                                                                                                                                        | 1.5.0           | MIT                      | https://github.com/multiformats/cs-multihash/blob/master/LICENSE                         
 Newtonsoft.Json                                                                                                                                                          | 13.0.*          | MIT                      | https://licenses.nuget.org/MIT                                                           
 Novell.Directory.Ldap.NETStandard                                                                                                                                        | 3.6.0           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Npgsql.EntityFrameworkCore.PostgreSQL                                                                                                                                    | 7.0.4           | PostgreSQL               | https://licenses.nuget.org/PostgreSQL                                                    
 OpenSSL.PublicKeyDecoder                                                                                                                                                 | 1.1.0           | MIT                      | https://raw.githubusercontent.com/StefH/OpenSSL-X509Certificate2-Provider/master/LICENSE 
 OpenSSL.X509Certificate2.Provider                                                                                                                                        | 1.3.0           | MIT                      | https://raw.githubusercontent.com/StefH/OpenSSL-X509Certificate2-Provider/master/LICENSE 
                                                                                                                                                                          |                 |                          |                                                                                          
                                                                                                                                                                          |                 |                          |                                                                                          
 RestSharp                                                                                                                                                                | 109.0.1         | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 Scrutor                                                                                                                                                                  | 4.2.2           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Serilog                                                                                                                                                                  | 2.*             | Apache 2.0               | https://github.com/serilog/serilog/blob/dev/LICENSE                                      
 Serilog.Exceptions                                                                                                                                                       | 5.0.0           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 Serilog.Expressions                                                                                                                                                      | 3.4.1           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 Serilog.Sinks.File                                                                                                                                                       | 5.0.0           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 Serilog.Sinks.Http                                                                                                                                                       | 8.0.0           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 SixLabors.ImageSharp                                                                                                                                                     | 3.0.1           | LICENSE                  | https://www.nuget.org/packages/SixLabors.ImageSharp/3.0.1/License                        
 StackExchange.Redis                                                                                                                                                      | 2.6.104         | MIT                      | https://licenses.nuget.org/MIT                                                           
 Swashbuckle.AspNetCore.Filters                                                                                                                                           | 7.0.6           | MIT                      | https://licenses.nuget.org/MIT                                                           
 Swashbuckle.AspNetCore.Filters                                                                                                                                           | 7.*             | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.DirectoryServices                                                                                                                                                 | 7.0.1           | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.IdentityModel.Tokens.Jwt                                                                                                                                          | 6.27.0          | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.IdentityModel.Tokens.Jwt                                                                                                                                          | 6.31.0          | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.IdentityModel.Tokens.Jwt                                                                                                                                          | 6.*             | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.Linq.Async                                                                                                                                                        | 6.0.1           | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.Net.Security                                                                                                                                                      | 4.3.2           | MS-EULA                  | http://go.microsoft.com/fwlink/?LinkId=329770                                            
 System.Text.Encodings.Web                                                                                                                                                | 7.0.*           | MIT                      | https://licenses.nuget.org/MIT                                                           
 System.Text.Json                                                                                                                                                         | 7.0.2           | MIT                      | https://licenses.nuget.org/MIT                                                           
 xunit                                                                                                                                                                    | 2.4.0           | MIT                      | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit                                                                                                                                                                    | 2.4.1           | LICENSE-2.0              | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit                                                                                                                                                                    | 2.4.1           | MIT                      | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit                                                                                                                                                                    | 2.4.2           | Apache-2.0               | https://licenses.nuget.org/Apache-2.0                                                    
 xunit.runner.visualstudio                                                                                                                                                | 2.4.0           | MIT                      | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit.runner.visualstudio                                                                                                                                                | 2.4.1           | LICENSE-2.0              | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit.runner.visualstudio                                                                                                                                                | 2.4.1           | MIT                      | https://raw.githubusercontent.com/xunit/xunit/master/license.txt                         
 xunit.runner.visualstudio                                                                                                                                                | 2.4.5           | MIT                      | https://licenses.nuget.org/MIT                                                           
